주소-시군구(필수),배송비(필수)
newAreaName,newAreaPay
인천광역시 강화군 교동면,0
인천광역시 강화군 삼산면,0
인천광역시 강화군 서도면,0
인천광역시 옹진군 대청면,0
인천광역시 옹진군 덕적면,0
인천광역시 옹진군 백령면,0
인천광역시 옹진군 북도면,0
인천광역시 옹진군 연평면,0
인천광역시 옹진군 자월면,0
인천광역시 중구 무의동,0
전라북도 군산시 옥도면,0
전라북도 부안군 위도면,0
부산광역시 강서구 눌차동,0
부산광역시 강서구 대항동,0
부산광역시 강서구 동선동,0
부산광역시 강서구 성북동,0
부산광역시 강서구 천성동,0
경상남도 거제시 장목면 시방리,0
경상남도 거제시 둔덕면 술역리,0
경상남도 사천시 마도동,0
경상남도 사천시 신수동,0
경상남도 통영시 사량면,0
경상남도 통영시 욕지면,0
경상남도 통영시 용남면 어의리,0
경상남도 통영시 용남면 지도리,0
경상남도 통영시 한산면,0
경상남도 통영시 산양읍 저림리,0
경상남도 통영시 산양읍 추도리,0
경상남도 통영시 산양읍 연곡리,0
경상남도 통영시 산양읍 곤리,0
제주특별자치도 제주시 ,0
제주특별자치도 제주시 우도면,0
제주특별자치도 제주시 추자면,0
제주특별자치도 서귀포시 ,0
경상북도 울릉군 북면,0
경상북도 울릉군 서면,0
경상북도 울릉군 울릉읍,0
충청남도 당진시 석문면 난지도리,0
충청남도 당진시 신평면 매산리,0
충청남도 보령시 오천면 고대도리,0
충청남도 보령시 오천면 녹도리,0
충청남도 보령시 오천면 삽시도리,0
충청남도 보령시 오천면 외연도리,0
충청남도 보령시 오천면 원산도리,0
충청남도 보령시 오천면 장고도리,0
충청남도 보령시 오천면 호도리,0
충청남도 보령시 오천면 효자도리,0
충청남도 서산시 지곡면 중왕리,0
충청남도 태안군 근흥면 가의도리,0
전라남도 고흥군 봉래면 사양리,0
전라남도 고흥군 도양읍 시산리,0
전라남도 고흥군 도양읍 봉암리,0
전라남도 고흥군 도양읍 득량리,0
전라남도 고흥군 도화면 지죽리,0
전라남도 목포시 달동,0
전라남도 목포시 율도동,0
전라남도 신안군 도초면,0
전라남도 신안군 비금면,0
전라남도 신안군 신의면,0
전라남도 신안군 안좌면,0
전라남도 신안군 암태면,0
전라남도 신안군 압해읍 가란리,0
전라남도 신안군 압해읍 고이리,0
전라남도 신안군 압해읍 매화리,0
전라남도 신안군 임자면,0
전라남도 신안군 자은면,0
전라남도 신안군 지도읍 어의리,0
전라남도 신안군 지도읍 선도리,0
전라남도 신안군 장산면,0
전라남도 신안군 증도면 병풍리,0
전라남도 신안군 팔금면,0
전라남도 신안군 하의면,0
전라남도 신안군 흑산면,0
전라남도 여수시 경호동,0
전라남도 여수시 남면,0
전라남도 여수시 묘도동,0
전라남도 여수시 삼산면,0
전라남도 여수시 화정면 개도리,0
전라남도 여수시 화정면 낭도리,0
전라남도 여수시 화정면 상화리,0
전라남도 여수시 화정면 여자리,0
전라남도 여수시 화정면 월호리,0
전라남도 여수시 화정면 적금리,0
전라남도 여수시 화정면 제도리,0
전라남도 여수시 화정면 조발리,0
전라남도 여수시 화정면 하화리,0
전라남도 영광군 낙월면,0
전라남도 완도군 군외면 당인리,0
전라남도 완도군 군외면 불목리,0
전라남도 완도군 군외면 영풍리,0
전라남도 완도군 군외면 황진리,0
전라남도 완도군 금당면,0
전라남도 완도군 금일읍,0
전라남도 완도군 약산면,0
전라남도 완도군 고금면,0
전라남도 완도군 노화읍,0
전라남도 완도군 보길면,0
전라남도 완도군 생일면,0
전라남도 완도군 소안면,0
전라남도 완도군 청산면,0
전라남도 진도군 조도면,0
전라남도 진도군 의신면 모도리,0
전라남도 보성군 벌교읍 장도리,0
